gap_bin,observations,hits,empirical_hazard,smoothed_hazard,delta_vs_base
0,11382,1772,0.155684,0.155689,-0.00221
1,9638,1530,0.158747,0.158744,0.000852
2,8104,1325,0.1635,0.163482,0.005605
3,6778,1133,0.167158,0.167124,0.009264
4,5643,848,0.150275,0.150308,-0.00762
5,4791,730,0.152369,0.152398,-0.005526
6,4059,644,0.15866,0.158655,0.000765
7,3413,493,0.144448,0.144545,-0.013447
8,2919,435,0.149024,0.149099,-0.008871
9,2480,408,0.164516,0.16445,0.006621
10,2070,317,0.15314,0.153197,-0.004755
11-12,3241,516,0.15921,0.1592,0.001315
13-15,3132,518,0.16539,0.16533,0.007495
16-20,2608,415,0.159126,0.159114,0.001231
21-30,1531,243,0.15872,0.158707,0.000825
31-50,297,55,0.185185,0.183066,0.02729
51+,0,0,0.0,0.157895,-0.157895
